Index,Continent,Country,id,Total_Cases,New_Cases,Total_Deaths,Population,x,y
1,North America,USA,USA,21353051.00,190165.00,362123.00,331997424.00,213.53,36.21
2,Asia,India,India,10357569.00,16278.00,149886.00,1386938083.00,103.58,14.99
3,South America,Brazil,Brazil,7754560.00,20814.00,196591.00,213333114.00,77.55,19.66
4,Europe,Russia,Russia,3260138.00,23351.00,58988.00,145966653.00,32.60,5.90
5,Europe,UK,UK,2713563.00,58784.00,75475.00,68068853.00,27.14,7.55
6,Europe,France,France,2659750.00,4022.00,65862.00,65347723.00,26.60,6.59
7,Europe,Turkey,Turkey,2255607.00,13695.00,21685.00,84802540.00,22.56,2.17
8,Europe,Italy,Italy,2166241.00,10797.00,75680.00,60416033.00,21.66,7.57
9,Europe,Spain,Spain,1966201.00,11489.00,51310.00,46764094.00,19.66,5.13
10,Europe,Germany,Germany,1796216.00,12056.00,35982.00,83921499.00,17.96,3.60
11,South America,Colombia,Colombia,1686131.00,10311.00,44187.00,51159884.00,16.86,4.42
12,South America,Argentina,Argentina,1648940.00,8222.00,43634.00,45407820.00,16.49,4.36
13,North America,Mexico,Mexico,1448755.00,5211.00,127213.00,129624684.00,14.49,12.72
14,Europe,Poland,Poland,1322919.00,4404.00,29161.00,37825266.00,13.23,2.92
15,Asia,Iran,Iran,1249507.00,6073.00,55650.00,84541150.00,12.50,5.57
