Famille,Blason,Devise,Source,Mort/vivant/peut-íÈtre,Sexe,Main du roi,Statut,Target,Type de relation,Weight,Localisation d'origine,Lieux de vie,Rí©gions,Saison 1,Saison 2,Saison 3,Saison 4,Saison 5,Photo
Stark,Loup-Garou,L'hiver vient,Catelyn Tully,mort,feminin,,conseilliíÂre du roi du nord,Eddard Stark,Epouse,3,Vivesaigues,Winterfell,Nord,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Stark,Loup-Garou,L'hiver vient,Sansa Stark,vivant,feminin,,hí©ritiíÂre de Winterfell et gouverneur du  nord,Joffrey Baratheon ,Epouse,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/499328626064916480/ORr3OR8i.jpeg
Stark,Loup-Garou,L'hiver vient,Sansa Stark,vivant,feminin,,hí©ritiíÂre de Winterfell et gouverneur du  nord,Tyrion Lannister,Epouse,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/499328626064916480/ORr3OR8i.jpeg
Lannister,Lion d'Or,Je rugis,Cersei Lannister,vivant,feminin,,"Reine de Westeros, Rí©gente",Robert Baratheon,Epouse,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,http://i56.servimg.com/u/f56/18/63/99/45/179-le10.jpg
Targaryen,Dragon Tricí©phale,Feu et sang,Daenerys Targaryen,vivant,feminin,,"princesse hí©ritiíÂre, Reine des cití©s libres, mere des dragons",Kal Drogo,Epouse,3,Valyrie,Essos,Essos,oui,oui,oui,oui,oui,http://vignette3.wikia.nocookie.net/eisundfeuer/images/e/e3/Daenerys_Targaryen.jpg/revision/latest?cb=20131006201356&path-prefix=de
Targaryen,Dragon Tricí©phale,Feu et sang,Daenerys Targaryen,vivant,feminin,,"princesse hí©ritiíÂre, Reine des cití©s libres, mere des dragons",Hizdahr zo Loraq,Epouse,3,Valyrie,Essos,Essos,oui,oui,oui,oui,oui,http://vignette3.wikia.nocookie.net/eisundfeuer/images/e/e3/Daenerys_Targaryen.jpg/revision/latest?cb=20131006201356&path-prefix=de
Tyrell,Rose d'Or,Croí¬tre avec vigueur,Margeary Tyrell,vivant,feminin,,reine de Westeros,Tommen Lannister,Epouse,3,Haut Jardin,Port Rí©al,Bief,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/513615647872651265/ChAypFBy_400x400.jpeg
Tyrell,Rose d'Or,Croí¬tre avec vigueur,Margeary Tyrell,vivant,feminin,,reine de Westeros,Joffrey Baratheon ,Epouse,3,Haut Jardin,Port Rí©al,Bief,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/513615647872651265/ChAypFBy_400x400.jpeg
Aryn,Faucon blanc sur ciel de lune,Aussi haute qu'Honneur,Lisa Tully,mort,feminin,,Rí©gente,Jon Arryn,Epouse,3,Vivesaigues,Les Eyrií©,Val d'Arryn,oui,non,non,oui,non,http://k30.kn3.net/taringa/C/9/3/3/7/F/Expelliarmuss/32F.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Catelyn Tully,mort,feminin,,"conseilliíÂre du gouverneur du nord, conseilliíÂre du roi du nord",Eddard Stark,Epouse,3,Vivesaigues,Winterfell,Conflans,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Catelyn Tully,mort,feminin,,"conseilliíÂre du gouverneur du nord, conseilliíÂre du roi du nord",Eddard Stark,Epouse,3,Vivesaigues,Winterfell,Conflans,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Lisa Tully,mort,feminin,,Rí©gente,Jon Arryn,Epouse,3,Vivesaigues,Les Eyrií©,Conflans,oui,non,non,oui,non,http://k30.kn3.net/taringa/C/9/3/3/7/F/Expelliarmuss/32F.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Elia Martell,mort,feminin,,princesse de Dorne,Rhaegar Targaryen,Epouse,3,Dorne,,principautí© de Dorne,non,non,non,oui,non,
Stark,Loup-Garou,L'hiver vient,Eddard Stark,mort,masculin,main du roi,gouverneur du  nord,Catelyn Tully,Epoux,3,Winterfell,Winterfell,Nord,oui,non,non,non,non,https://pbs.twimg.com/profile_images/1797689677/EddardStark_400x400.jpg
Baratheon,Cerf Couronní©,NíÇtre est la fureur,Robert Baratheon,mort,masculin,,roi de Westeros,Cersei Lannister,Epoux,3,Accalmie,Port Rí©al,Terres de l'orage,oui,non,non,non,non,https://pbs.twimg.com/profile_images/2793065484/9784137809e53b383bb5d54573108041_400x400.jpeg
Lannister,Lion d'Or,Je rugis,Tyrion Lannister ,vivant,masculin,main du roi,conseiller de Daenerys Targaryen,Sansa Stark,Epoux,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/2352084914/tyrion-lannister-1024_400x400.jpg
Lannister,Lion d'Or,Je rugis,Joffrey Lannister,mort,masculin,,roi de Westeros,Sansa Stark,Epoux,3,Port Rí©al,,Ouest,oui,oui,oui,oui,non,"http://static.lexpress.fr/medias_10379/w_400,c_fill,g_north/games-of-thrones-le-roi-joffrey_5314217.jpg"
Lannister,Lion d'Or,Je rugis,Joffrey Lannister,mort,masculin,,roi de Westeros,Margeary Tyrell,Epoux,3,Port Rí©al,,Ouest,oui,oui,oui,oui,non,"http://static.lexpress.fr/medias_10379/w_400,c_fill,g_north/games-of-thrones-le-roi-joffrey_5314217.jpg"
Lannister,Lion d'Or,Je rugis,Tommen Lannister,vivant,masculin,,roi de Westeros,Margeary Tyrell,Epoux,3,Port Rí©al,,Ouest,oui,non,non,oui,oui,https://pbs.twimg.com/profile_images/652365169901891584/pahiUBrm_400x400.jpg
Targaryen,Dragon Tricí©phale,Feu et sang,Rhaegar Targaryen,mort,masculin,,prince hí©ritier,Elia Martell,Epoux,3,Valyrie,Port Rí©al,Essos,oui,non,non,oui,oui,
Aryn,Faucon blanc sur ciel de lune,Aussi haute qu'Honneur,Jon Arryn,mort,masculin,main du roi,Seigneur du Val,Lisa Tully,Epoux,3,Les Eyrií©,,Val d'Arryn,oui,non,non,non,non,https://pbs.twimg.com/profile_images/378800000629793067/02a1decab6f3f1f1e8d12625569ba735_400x400.jpeg
Bolton,,,Ramsay Bolton,vivant,masculin,,,Sansa Stark,Epoux,3,Fort Terreur,Winterfell,Nord,non,non,oui,oui,oui,http://static.spylight.com/outfit_images/avatars/000/051/268/square/ramsay-snow-brown-leather-armor-game-of-thrones.jpg?1431925392
Tyrell,Rose d'Or,Croí¬tre avec vigueur,Loras Tyrell,vivant,masculin,,chevalier de la rose,Renly Baratheon,amant,5,Haut Jardin,Port Rí©al,Bief,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/602415744966643712/hvlOSH32.jpg
Lannister,Lion d'Or,Je rugis,Tyrion Lannister ,vivant,masculin,main du roi,conseiller de Daenerys Targaryen,Ser Bronn,ami fidele,1,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/2352084914/tyrion-lannister-1024_400x400.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Oberyn Martell,mort,masculin,,"Conseiller du Gouverner de Dorne, Membre du Conseil restreint",Ellaria Sand,conjoint,1,Dorne,,principautí© de Dorne,non,non,non,oui,non,https://pbs.twimg.com/profile_images/493021365092749312/HSnODihf.jpeg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Ellaria Sand,vivant,feminin,,,Oberyn Martell,conjointe,1,Dorne,,principautí© de Dorne,non,non,non,oui,oui,https://pbs.twimg.com/profile_images/493429892827328512/UHLCf1VE.jpeg
Stark,Loup-Garou,L'hiver vient,Robb Stark,mort,masculin,,roi du nord,Jon Snow,demi-frere,4,Winterfell,Winterfell,Nord,oui,oui ,oui,non,non,https://images.blogthings.com/whatgameofthronescharacterareyouquiz/robb-stark.jpg
Stark,Loup-Garou,L'hiver vient,Brandon Stark,vivant,masculin,,membre des enfants de la fíÇret,Jon Snow,demi-frere,4,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/432738150268411904/6EM9iIF__400x400.png
Stark,Loup-Garou,L'hiver vient,Rickon Stark,vivant,masculin,,,Jon Snow,demi-frere,4,Winterfell,Winterfell,Nord,oui,oui,oui,oui,non,https://pbs.twimg.com/profile_images/378800000432009708/e907cc868bd6785919ba13f72c00767c_400x400.png
